,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,Cluster
0,0.04815149010256611,0.07328476510428449,0.07328476510428449,0.048278896913681944,0.0,0.14618262314289035,0.04885651006952299,0.04872754104763011,0.07299478211724776,0.438547869428671,0.12165797019541295,0.3908520805561839,0.71751698194359,0.07260997140487119,0.12165797019541295,0.19542604027809196,0.0727059787252825,0.12197995407946097,17
1,0.06953293052985512,0.23517003754602864,0.04703400750920572,0.13943382346035363,0.049726747020905765,0.16418447304101708,0.11758501877301432,0.04690984944029059,0.09369579408080134,0.11727462360072648,0.09369579408080134,0.09406801501841144,0.6447012376470346,0.06990138950654008,0.632446610045409,0.04703400750920572,0.06999381544983278,0.07045782927984669,10
2,0.0956836042541261,0.3883383018695686,0.03883383018695685,0.13431149064721537,0.041057102123004445,0.11619395563327715,0.1553353207478274,0.07746263708885143,0.17406075275790514,0.038731318544425714,0.058020250919301714,0.13591840565434898,0.7984505162314409,0.05771438228813488,0.19340083639767242,0.17475223584130586,0.057790694164940086,0.09695634862567726,6
3,0.34637836813297734,0.1171499794676267,0.05857498973381335,0.05788247844667149,0.0,0.11684073269078549,0.05857498973381335,0.058420366345392744,0.11668642471748225,0.14605091586348184,0.11668642471748225,0.05857498973381335,0.8028949769836342,0.26116038519087387,0.20420124325559394,0.08786248460072003,0.05811237780949499,0.1462440634373623,0
4,0.10255808859803939,0.13874628532099123,0.06937314266049562,0.13710593729753567,0.0,0.17297503709240095,0.10405971399074343,0.10378502225544058,0.24184523197010974,0.06919001483696038,0.10364795655861846,0.06937314266049562,0.7811018983372501,0.10310154977661541,0.17274659426436412,0.24280599931173466,0.3097136222298263,0.1039222745632077,2
5,0.04604624342769004,0.2569624144534658,0.21024197546192655,0.06925211976739885,0.0,0.09319421733087181,0.23360219495769616,0.3028812063253334,0.1396067078780959,0.046597108665435906,0.11633892323174659,0.09344087798307847,0.7090177326147962,0.06943536765870788,0.09307113858539727,0.3737635119323139,0.1390543548248114,0.09331746364446541,1
6,0.057848377631886876,0.15652100420334203,0.2152163807795953,0.15467051199535073,0.0,0.2536752200516885,0.17608612972875978,0.05854043539654351,0.11692624567675475,0.05854043539654351,0.15590166090233967,0.17608612972875978,0.7279217888438474,0.05815491949432109,0.058463122838377374,0.35217225945751957,0.21351665083495977,0.1563142752360018,2
7,0.08060964831246127,0.28626468882507256,0.04089495554643894,0.14144014157116663,0.0,0.2651155198000042,0.10223738886609735,0.10196750761538624,0.1425659791561934,0.1223610091384635,0.10183284225442388,0.08178991109287788,0.8408286849408702,0.08103680345034793,0.12219941070530863,0.061342433319658406,0.060857964756380174,0.10210235631930643,4
8,0.059160582167263276,0.22009824475758547,0.040017862683197354,0.11863423714293321,0.04230892155160744,0.15964890195874468,0.1000446567079934,0.03991222548968617,0.07971902927439836,0.09978056372421541,0.07971902927439836,0.08003572536639471,0.6268914640672477,0.059474077476598435,0.6776117488323861,0.040017862683197354,0.059552716080938664,0.059947512159690124,10
9,0.05941499785988077,0.09042740219582282,0.060284934797215216,0.059572207437271985,0.0,0.09018869636937486,0.09042740219582282,0.09018869636937486,0.09006958692328425,0.06012579757958324,0.060046391282189505,0.24113973918886086,0.6787738771139266,0.0895947619987884,0.33025515205204226,0.09042740219582282,0.05980881811634711,0.5418478078769957,15
