,Pokemon,Cluster
0,Abomasnow,2
1,Abra,7
2,Absol,0
3,Accelgor,8
4,Aegislash,5
5,Aerodactyl,5
6,Aggron,16
7,Aipom,0
8,Alakazam,7
9,Alomomola,17
10,Altaria,4
11,Amaura,16
12,Ambipom,0
13,Amoonguss,2
14,Ampharos,12
15,Anorith,16
16,Arbok,11
17,Arcanine,13
18,Arceus,1
19,Arceus-Bug,1
20,Arceus-Dark,1
21,Arceus-Dragon,1
22,Arceus-Electric,1
23,Arceus-Fairy,1
24,Arceus-Fighting,1
25,Arceus-Fire,1
26,Arceus-Flying,1
27,Arceus-Ghost,1
28,Arceus-Grass,1
29,Arceus-Ground,1
30,Arceus-Ice,1
31,Arceus-Poison,1
32,Arceus-Psychic,1
33,Arceus-Rock,1
34,Arceus-Steel,1
35,Arceus-Water,1
36,Archen,5
37,Archeops,5
38,Ariados,8
39,Armaldo,16
40,Aromatisse,10
41,Aron,16
42,Articuno,4
43,Audino,7
44,Aurorus,16
45,Avalugg,9
46,Axew,5
47,Azelf,7
48,Azumarill,17
49,Azurill,17
50,Bagon,5
51,Baltoy,7
52,Banette,10
53,Barbaracle,5
54,Barboach,17
55,Basculin,17
56,Bastiodon,16
57,Bayleef,2
58,Beartic,5
59,Beautifly,8
60,Beedrill,8
61,Beheeyem,7
62,Beldum,14
63,Bellossom,2
64,Bellsprout,2
65,Bergmite,9
66,Bibarel,0
67,Bidoof,0
68,Binacle,5
69,Bisharp,5
70,Blastoise,17
71,Blaziken,15
72,Blissey,7
73,Blitzle,12
74,Boldore,16
75,Bonsly,16
76,Bouffalant,5
77,Braixen,10
78,Braviary,4
79,Breloom,3
80,Bronzong,10
81,Bronzor,10
82,Budew,2
83,Buizel,17
84,Bulbasaur,2
85,Buneary,0
86,Bunnelby,16
87,Burmy,8
88,Butterfree,8
89,Cacnea,2
90,Cacturne,2
91,Camerupt,11
92,Carbink,10
93,Carnivine,2
94,Carracosta,16
95,Carvanha,17
96,Cascoon,14
97,Castform,17
98,Caterpie,14
99,Celebi,7
100,Chandelure,10
101,Chansey,7
102,Charmander,15
103,Charmeleon,15
104,Chatot,4
105,Cherrim,2
106,Cherubi,2
107,Chesnaught,3
108,Chespin,3
109,Chikorita,2
110,Chimchar,15
111,Chimecho,10
112,Chinchou,17
113,Chingling,10
114,Cinccino,0
115,Clamperl,17
116,Clauncher,17
117,Clawitzer,17
118,Claydol,7
119,Clefairy,7
120,Cleffa,7
121,Cloyster,17
122,Cobalion,5
123,Cofagrigus,10
124,Combee,14
125,Combusken,15
126,Conkeldurr,3
127,Corphish,17
128,Corsola,16
129,Cottonee,2
130,Cradily,11
131,Cranidos,16
132,Crawdaunt,17
133,Cresselia,7
134,Croagunk,3
135,Crobat,4
136,Croconaw,5
137,Crustle,16
138,Cryogonal,9
139,Cubchoo,5
140,Cubone,3
141,Cyndaquil,13
142,Darkrai,0
143,Darmanitan,13
144,Darumaka,13
145,Dedenne,12
146,Deerling,2
147,Deino,5
148,Delcatty,0
149,Delibird,17
150,Delphox,10
151,Deoxys,7
152,Deoxys-Attack,7
153,Deoxys-Defense,7
154,Deoxys-Speed,7
155,Dewgong,11
156,Dewott,17
157,Dialga,5
158,Diancie,10
159,Diggersby,3
160,Diglett,16
161,Ditto,14
162,Dodrio,4
163,Doduo,4
164,Donphan,16
165,Doublade,5
166,Dragalge,17
167,Dragonair,5
168,Dragonite,5
169,Drapion,8
170,Dratini,5
171,Drifblim,10
172,Drifloon,10
173,Drilbur,5
174,Drowzee,7
175,Druddigon,5
176,Ducklett,4
177,Dugtrio,16
178,Dunsparce,16
179,Duosion,10
180,Durant,5
181,Dusclops,10
182,Dusknoir,10
183,Duskull,10
184,Dustox,8
185,Dwebble,16
186,Eelektrik,12
187,Eelektross,12
188,Eevee,0
189,Ekans,11
190,Electabuzz,3
191,Electivire,3
192,Electrike,12
193,Electrode,12
194,Elekid,3
195,Elgyem,7
196,Emboar,13
197,Emolga,12
198,Empoleon,17
199,Entei,13
200,Escavalier,8
201,Espeon,6
202,Espurr,10
203,Excadrill,5
204,Exeggcute,2
205,Exeggutor,2
206,Exploud,3
207,Farfetch'd,4
208,Fearow,4
209,Feebas,17
210,Fennekin,13
211,Feraligatr,5
212,Ferroseed,16
213,Ferrothorn,16
214,Finneon,17
215,Flaaffy,12
216,Flabebe,2
217,Flareon,13
218,Fletchinder,4
219,Fletchling,4
220,Floatzel,17
221,Floette,2
222,Floette-Eternal,2
223,Florges,2
224,Flygon,5
225,Foongus,2
226,Forretress,16
227,Fraxure,5
228,Frillish,17
229,Froakie,17
230,Frogadier,17
231,Froslass,10
232,Furfrou,0
233,Furret,0
234,Gabite,5
235,Gallade,7
236,Galvantula,8
237,Garbodor,11
238,Gardevoir,7
239,Gastly,10
240,Gastrodon,11
241,Genesect,12
242,Gengar,10
243,Geodude,16
244,Gible,5
245,Gigalith,16
246,Girafarig,7
247,Giratina,5
248,Giratina-Origin,5
249,Glaceon,0
250,Glalie,9
251,Glameow,0
252,Gligar,8
253,Gliscor,8
254,Gloom,2
255,Gogoat,2
256,Golbat,4
257,Goldeen,17
258,Golduck,17
259,Golem,16
260,Golett,16
261,Golurk,16
262,Goodra,5
263,Goomy,11
264,Gorebyss,17
265,Gothita,10
266,Gothitelle,10
267,Gothorita,10
268,Gourgeist,10
269,Gourgeist-Large,14
270,Gourgeist-Small,14
271,Gourgeist-Super,14
272,Granbull,3
273,Graveler,16
274,Greninja,17
275,Grimer,11
276,Grotle,2
277,Grovyle,2
278,Growlithe,13
279,Grumpig,7
280,Gulpin,11
281,Gurdurr,3
282,Gyarados,5
283,Happiny,7
284,Hariyama,3
285,Haunter,10
286,Hawlucha,3
287,Haxorus,5
288,Heatmor,15
289,Heliolisk,12
290,Helioptile,12
291,Heracross,3
292,Herdier,13
293,Hippopotas,11
294,Hippowdon,11
295,Hitmonchan,3
296,Hitmonlee,3
297,Hitmontop,3
298,Honchkrow,4
299,Honedge,5
300,Ho-Oh,4
301,Hoopa,7
302,Hoopa-Unbound,7
303,Hoothoot,4
304,Hoppip,2
305,Horsea,17
306,Houndoom,13
307,Houndour,13
308,Huntail,17
309,Hydreigon,5
310,Hypno,7
311,Igglybuff,7
312,Illumise,8
313,Inkay,10
314,Ivysaur,2
315,Jellicent,17
316,Jigglypuff,7
317,Jirachi,7
318,Jolteon,0
319,Joltik,8
320,Jumpluff,2
321,Jynx,7
322,Kabuto,16
323,Kabutops,16
324,Kadabra,7
325,Kakuna,14
326,Kangaskhan,3
327,Karrablast,8
328,Kecleon,3
329,Keldeo,5
330,Kingdra,17
331,Kingler,17
332,Kirlia,7
333,Klang,12
334,Klefki,10
335,Klink,12
336,Klinklang,12
337,Koffing,11
338,Krabby,17
339,Kricketot,14
340,Kricketune,8
341,Krokorok,5
342,Krookodile,5
343,Kyogre,17
344,Kyurem,5
345,Kyurem-Black,5
346,Kyurem-White,5
347,Lairon,16
348,Lampent,10
349,Landorus,16
350,Landorus-Therian,16
351,Lanturn,17
352,Lapras,17
353,Larvesta,13
354,Larvitar,16
355,Latias,6
356,Latios,6
357,Leafeon,0
358,Leavanny,8
359,Ledian,8
360,Ledyba,8
361,Lickilicky,3
362,Lickitung,3
363,Liepard,0
364,Lileep,11
365,Lilligant,2
366,Lillipup,13
367,Linoone,0
368,Litleo,13
369,Litwick,10
370,Lombre,17
371,Lopunny,0
372,Lotad,2
373,Loudred,3
374,Lucario,3
375,Ludicolo,17
376,Lugia,6
377,Lumineon,17
378,Lunatone,10
379,Luvdisc,17
380,Luxio,12
381,Luxray,12
382,Machamp,3
383,Machoke,3
384,Machop,3
385,Magby,15
386,Magcargo,11
387,Magikarp,14
388,Magmar,15
389,Magmortar,15
390,Magnemite,12
391,Magneton,12
392,Magnezone,12
393,Makuhita,3
394,Malamar,10
395,Mamoswine,16
396,Manaphy,17
397,Mandibuzz,4
398,Manectric,12
399,Mankey,3
400,Mantine,17
401,Mantyke,17
402,Maractus,2
403,Mareep,12
404,Marill,17
405,Marowak,3
406,Marshtomp,16
407,Masquerain,8
408,Mawile,3
409,Medicham,7
410,Meditite,7
411,Meganium,2
412,Meloetta,7
413,Meowstic-F,10
414,Meowstic-M,10
415,Meowth,0
416,Metagross,16
417,Metang,16
418,Metapod,14
419,Mew,7
420,Mewtwo,7
421,Mienfoo,3
422,Mienshao,3
423,Mightyena,13
424,Milotic,17
425,Miltank,3
426,Mime Jr.,7
427,Minccino,0
428,Minun,12
429,Misdreavus,10
430,Mismagius,10
431,Moltres,4
432,Monferno,15
433,Mothim,8
434,Mr. Mime,7
435,Mudkip,16
436,Muk,11
437,Munchlax,3
